Fecha,Producto vendido,Cantidad (kg/unidades),Precio unitario ($),Total venta ($),Categoria,Año,Mes,Día
2025-09-24,Asado,10.68,13750.0,146850.0,Carne,2025,9,24
2025-09-24,Vacio,6.42,15900.0,102078.0,Carne,2025,9,24
2025-09-24,Cuadrada,1.155,12750.0,14726.25,Carne,2025,9,24
2025-09-24,Tapa de nalga,1.49,12200.0,18178.0,Carne,2025,9,24
2025-09-24,Tapa de Asado,2.745,11900.0,32665.5,Carne,2025,9,24
2025-09-24,Matambre,1.645,12500.0,20562.5,Carne,2025,9,24
2025-09-24,Bola de lomo,1.89,12750.0,24097.5,Carne,2025,9,24
2025-09-24,Peceto,1.165,17200.0,20038.0,Carne,2025,9,24
2025-09-24,Colita de cuadril,1.155,17600.0,20328.0,Carne,2025,9,24
2025-09-24,Cuadril,3.44,13490.0,46405.6,Carne,2025,9,24
2025-09-24,Paleta,2.56,11750.0,30080.0,Carne,2025,9,24
2025-09-24,Bife de chorizo,1.47,18300.0,26901.0,Carne,2025,9,24
2025-09-24,Lomo,3.625,19900.0,72137.5,Carne,2025,9,24
2025-09-24,Picada Especial,1.99,12100.0,24079.0,Carne,2025,9,24
2025-09-24,Falda Parrillera,1.965,9490.900763,18649.62,Carne,2025,9,24
2025-09-24,Pechito de cerdo,3.635,7200.899587,26175.27,Cerdo,2025,9,24
2025-09-24,Bifes de cerdo,1.25,6900.904,8626.13,Cerdo,2025,9,24
2025-09-24,Matambrito de cerdo,1.59,14890.0,23675.1,Cerdo,2025,9,24
2025-09-24,Chorizo de cerdo,3.24,10500.0,34020.0,Achura,2025,9,24
2025-09-24,Chorizo mixto,0.36,10900.0,3924.0,Achura,2025,9,24
2025-09-24,Morcilla,2.36,9500.898305,22422.12,Achura,2025,9,24
2025-09-24,Chinchulin,6.91,5200.901592,35938.23,Achura,2025,9,24
2025-09-24,Riñon,1.2,4990.9,5989.08,Achura,2025,9,24
2025-09-24,Morcilla Vasca,0.93,12490.0,11615.7,Achura,2025,9,24
2025-09-24,Pollo,15.175,4050.900824,61472.42,Pollo,2025,9,24
2025-09-24,Suprema,1.81,9500.900552,17196.63,Pollo,2025,9,24
2025-09-24,Mila de pollo,2.61,8750.904215,22839.86,Elaborados,2025,9,24
2025-09-24,Mondongo,1.375,6200.901818,8526.24,Achura,2025,9,24
2025-09-24,Pata y Muslo,3.16,4290.898734,13559.24,Pollo,2025,9,24
2025-09-24,Oferta pata y muslo,6.505,3840.900846,24985.06,Pollo,2025,9,24
2025-09-24,Molleja,0.665,20900.0,13898.5,Achura,2025,9,24
2025-09-24,Filet de merluza,0.585,8990.905983,5259.68,Pescado,2025,9,24
2025-09-24,Churrasco de cerdo,1.505,11900.0,17909.5,Cerdo,2025,9,24
2025-09-24,Gen Unitario,10.0,3538.5,35385.0,Almacen,2025,9,24
2025-09-24,Gen Pesable,19.72,9187.65,181180.5,Otros,2025,9,24
2025-09-25,Cuadrada,1.73,13250.0,22922.5,Carne,2025,9,25
2025-09-25,Bola de lomo,2.455,13250.0,32528.75,Carne,2025,9,25
2025-09-25,Nalga,0.235,15500.0,3642.5,Carne,2025,9,25
2025-09-25,Peceto,0.975,17690.0,17247.75,Carne,2025,9,25
2025-09-25,Paleta,0.96,11750.0,11280.0,Carne,2025,9,25
2025-09-25,Roastbeef,1.095,11259.00457,12328.61,Carne,2025,9,25
2025-09-25,Picada Especial,2.06,12100.0,24926.0,Carne,2025,9,25
2025-09-25,Morcilla,0.185,8900.918919,1646.67,Achura,2025,9,25
2025-09-25,Pollo,6.175,3490.900405,21556.31,Pollo,2025,9,25
2025-09-25,Suprema,0.615,9590.894309,5898.4,Pollo,2025,9,25
2025-09-25,Paty Casero,0.52,11900.0,6188.0,Carne,2025,9,25
2025-09-25,Mila Pollo,1.97,8750.898477,17239.27,Elaborados,2025,9,25
2025-09-25,Pata y Muslo,1.53,3750.901961,5738.88,Pollo,2025,9,25
2025-09-25,Ojo de bife,3.76,19300.0,72568.0,Carne,2025,9,25
2025-09-25,Churraco de cerdo,1.855,11900.0,22074.5,Cerdo,2025,9,25
2025-09-25,Gen Unitario,3.0,8316.67,24950.0,Almacen,2025,9,25
2025-09-25,Gen Pesable,6.395,9470.88,60566.25,Otros,2025,9,25
2025-09-26,Asado,8.735,13750.0,120106.25,Carne,2025,9,26
2025-09-26,Vacio,5.8,15900.0,92220.0,Carne,2025,9,26
2025-09-26,Cuadrada,1.7,13250.0,22525.0,Carne,2025,9,26
2025-09-26,Tapa de nalga,1.51,12200.0,18422.0,Carne,2025,9,26
2025-09-26,Nalga,1.8,15500.0,27900.0,Carne,2025,9,26
2025-09-26,Peceto,4.25,17690.0,75182.5,Carne,2025,9,26
2025-09-26,Paleta,2.305,11750.0,27083.75,Carne,2025,9,26
2025-09-26,Bife de chorizo,2.955,18300.0,54076.5,Carne,2025,9,26
2025-09-26,Lomo,1.635,19900.0,32536.5,Carne,2025,9,26
2025-09-26,Bife ancho,2.05,11900.0,24395.0,Carne,2025,9,26
2025-09-26,Picada Especial,3.55,12100.0,42955.0,Carne,2025,9,26
2025-09-26,Matambrito de cerdo,0.665,14890.0,9901.85,Cerdo,2025,9,26
2025-09-26,Chorizo de cerdo,2.465,10500.0,25882.5,Achura,2025,9,26
2025-09-26,Morcilla,4.42,8900.900452,39341.98,Achura,2025,9,26
2025-09-26,Chinchulin,0.79,5490.898734,4337.81,Achura,2025,9,26
2025-09-26,Pollo,5.46,3490.901099,19060.32,Pollo,2025,9,26
2025-09-26,Suprema,5.33,9590.900563,51119.5,Pollo,2025,9,26
2025-09-26,Mila pollo,6.915,8750.899494,60512.47,Elaborados,2025,9,26
2025-09-26,Pata y Muslo,2.115,3750.898345,7933.15,Pollo,2025,9,26
2025-09-26,Higado,9.115,2790.599013,25436.31,Achura,2025,9,26
2025-09-26,Provoleta,0.35,28500.0,9975.0,Embutidos,2025,9,26
2025-09-26,Gen Unitario,6.0,7833.33,47000.0,Almacen,2025,9,26
2025-09-26,Gen Pesable,17.085,5532.75,94527.09,Otros,2025,9,26
2025-09-27,Asado,6.775,13750.0,93156.25,Carne,2025,9,27
2025-09-27,Vacio,2.525,15900.0,40147.5,Carne,2025,9,27
2025-09-27,Cuadrada,4.96,13250.0,65720.0,Carne,2025,9,27
2025-09-27,Tapa de nalga,1.165,12200.0,14213.0,Carne,2025,9,27
2025-09-27,Bola de lomo,2.185,13250.0,28951.25,Carne,2025,9,27
2025-09-27,Nalga,6.56,15500.0,101680.0,Carne,2025,9,27
2025-09-27,Cuadril,1.895,13490.0,25563.55,Carne,2025,9,27
2025-09-27,Paleta,0.535,11750.0,6286.25,Carne,2025,9,27
2025-09-27,Roastbeef,1.065,11259.00469,11990.84,Carne,2025,9,27
2025-09-27,Bife de chorizo,1.62,18300.0,29646.0,Carne,2025,9,27
2025-09-27,Entraña,1.01,20500.0,20705.0,Carne,2025,9,27
2025-09-27,Bife ancho,0.305,11900.0,3629.5,Carne,2025,9,27
2025-09-27,Picada Comun,1.005,9350.905473,9397.66,Carne,2025,9,27
2025-09-27,Falda Parillera,1.725,9490.898551,16371.8,Carne,2025,9,27
2025-09-27,Pechito de cerdo,1.995,7590.902256,15143.85,Cerdo,2025,9,27
2025-09-27,Bondiola,1.26,10169.0,12812.94,Cerdo,2025,9,27
2025-09-27,Matambrito de cerdo,3.77,14890.0,56135.3,Cerdo,2025,9,27
2025-09-27,Chorizo de cerdo,3.415,10500.0,35857.5,Achura,2025,9,27
2025-09-27,Morcilla,2.355,8900.900212,20961.62,Achura,2025,9,27
2025-09-27,Chinchulin,2.095,5490.902148,11503.44,Achura,2025,9,27
2025-09-27,Riñon,1.615,4990.897833,8060.3,Achura,2025,9,27
2025-09-27,Suprema,3.585,9590.900976,34383.38,Pollo,2025,9,27
2025-09-27,Mila pollo,4.245,8750.897527,37147.56,Elaborados,2025,9,27
2025-09-27,Pata y Muslo,4.54,3750.900881,17029.09,Pollo,2025,9,27
2025-09-27,Oferta Pata y muslo,4.54,4485.830396,20365.67,Pollo,2025,9,27
2025-09-27,Ojo de bife,1.03,19300.0,19879.0,Carne,2025,9,27
2025-09-27,Higado,1.66,2790.60241,4632.4,Achura,2025,9,27
2025-09-27,Picaña,1.27,17600.0,22352.0,Carne,2025,9,27
2025-09-27,Bolsa,1.0,60.0,60.0,Almacen,2025,9,27
2025-09-27,Gen Unitario,6.0,15135.0,90810.0,Almacen,2025,9,27
2025-09-27,Gen Pesable,15.69,9664.72,151639.5,Otros,2025,9,27
2025-09-28,Asado,1.435,13750.0,19731.25,Carne,2025,9,28
2025-09-28,Vacio,1.925,15900.0,30607.5,Carne,2025,9,28
2025-09-28,Tapa de nalga,1.385,12200.0,16897.0,Carne,2025,9,28
2025-09-28,Bola de lomo,1.065,13250.0,14111.25,Carne,2025,9,28
2025-09-28,Peceto,1.905,17690.0,33699.45,Carne,2025,9,28
2025-09-28,Paleta,1.955,11750.0,22971.25,Carne,2025,9,28
2025-09-28,Roastbeef,4.505,11259.00111,50721.8,Carne,2025,9,28
2025-09-28,Bife de chorizo,1.9,18300.0,34770.0,Carne,2025,9,28
2025-09-28,Entraña,0.37,20500.0,7585.0,Carne,2025,9,28
2025-09-28,Picada Especial,3.93,12100.0,47553.0,Carne,2025,9,28
2025-09-28,Chorizo de cerdo,0.37,10500.0,3885.0,Achura,2025,9,28
2025-09-28,Morcilla,0.385,8900.909091,3426.85,Achura,2025,9,28
2025-09-28,Salchicha parrillera,1.035,11900.0,12316.5,Achura,2025,9,28
2025-09-28,Chinchulin,0.93,5490.903226,5106.54,Achura,2025,9,28
2025-09-28,Pollo,5.845,3490.899914,20404.31,Pollo,2025,9,28
2025-09-28,Suprema,9.535,9590.899843,91449.23,Pollo,2025,9,28
2025-09-28,Mila pollo,3.35,8750.901493,29315.52,Pollo,2025,9,28
2025-09-28,Pata y Muslo,9.69,3750.898865,36346.21,Pollo,2025,9,28
